state,city,area,weekly_income,working_hours_per_day,orders_per_day,shift_timing,rainfall_intensity,temperature_trend,disruption_frequency,location_risk_score,income_per_hour,activity_level,shift_risk,risk_score
Gujarat,Vadodara,Alkapuri,9228,4,14,night,0.38,0.72,0.3,0.458,329.57,3.5,0.7,0.493
Gujarat,Vadodara,Alkapuri,9359,8,8,evening,0.38,0.72,0.3,0.458,167.12,1.0,0.6,0.438
Gujarat,Vadodara,Alkapuri,6652,10,15,morning,0.38,0.72,0.3,0.458,95.03,1.5,0.2,0.428
Gujarat,Vadodara,Alkapuri,7447,9,17,afternoon,0.38,0.72,0.3,0.458,118.21,1.89,0.3,0.441
Gujarat,Vadodara,Alkapuri,9615,9,23,morning,0.38,0.72,0.3,0.458,152.62,2.56,0.2,0.449
Gujarat,Vadodara,Alkapuri,4327,7,24,afternoon,0.38,0.72,0.3,0.458,88.31,3.43,0.3,0.472
Gujarat,Vadodara,Alkapuri,4782,6,16,morning,0.38,0.72,0.3,0.458,113.86,2.67,0.2,0.451
Gujarat,Vadodara,Alkapuri,8835,9,11,afternoon,0.38,0.72,0.3,0.458,140.24,1.22,0.3,0.427
Gujarat,Vadodara,Alkapuri,4893,4,23,evening,0.38,0.72,0.3,0.458,174.75,5.75,0.6,0.518
Gujarat,Vadodara,Alkapuri,4975,4,28,morning,0.38,0.72,0.3,0.458,177.68,7.0,0.2,0.498
Gujarat,Vadodara,Alkapuri,5462,9,9,morning,0.38,0.72,0.3,0.458,86.7,1.0,0.2,0.418
Gujarat,Vadodara,Alkapuri,8654,4,14,night,0.38,0.72,0.3,0.458,309.07,3.5,0.7,0.493
Gujarat,Vadodara,Alkapuri,5006,5,24,morning,0.38,0.72,0.3,0.458,143.03,4.8,0.2,0.494
Gujarat,Vadodara,Alkapuri,5559,5,34,evening,0.38,0.72,0.3,0.458,158.83,6.8,0.6,0.518
Gujarat,Vadodara,Alkapuri,8536,6,32,night,0.38,0.72,0.3,0.458,203.24,5.33,0.7,0.523
Gujarat,Vadodara,Alkapuri,6080,8,28,afternoon,0.38,0.72,0.3,0.458,108.57,3.5,0.3,0.473
Gujarat,Vadodara,Alkapuri,8600,12,29,night,0.38,0.72,0.3,0.458,102.38,2.42,0.7,0.471
Gujarat,Vadodara,Alkapuri,3605,12,18,morning,0.38,0.72,0.3,0.458,42.92,1.5,0.2,0.428
Gujarat,Vadodara,Alkapuri,9067,7,29,evening,0.38,0.72,0.3,0.458,185.04,4.14,0.6,0.501
Gujarat,Vadodara,Alkapuri,7976,4,13,night,0.38,0.72,0.3,0.458,284.86,3.25,0.7,0.488
Gujarat,Vadodara,Alkapuri,5615,4,27,evening,0.38,0.72,0.3,0.458,200.54,6.75,0.6,0.518
Gujarat,Vadodara,Alkapuri,9892,11,12,morning,0.38,0.72,0.3,0.458,128.47,1.09,0.2,0.42
Gujarat,Vadodara,Alkapuri,3729,7,19,afternoon,0.38,0.72,0.3,0.458,76.1,2.71,0.3,0.457
Gujarat,Vadodara,Alkapuri,3291,9,25,evening,0.38,0.72,0.3,0.458,52.24,2.78,0.6,0.474
Gujarat,Vadodara,Alkapuri,9111,10,17,afternoon,0.38,0.72,0.3,0.458,130.16,1.7,0.3,0.437
Gujarat,Vadodara,Alkapuri,8061,8,26,afternoon,0.38,0.72,0.3,0.458,143.95,3.25,0.3,0.468
Gujarat,Vadodara,Alkapuri,8447,8,21,night,0.38,0.72,0.3,0.458,150.84,2.62,0.7,0.475
Gujarat,Vadodara,Alkapuri,9965,7,34,morning,0.38,0.72,0.3,0.458,203.37,4.86,0.2,0.495
Gujarat,Vadodara,Alkapuri,7210,8,21,morning,0.38,0.72,0.3,0.458,128.75,2.62,0.2,0.45
Gujarat,Vadodara,Alkapuri,5493,11,26,evening,0.38,0.72,0.3,0.458,71.34,2.36,0.6,0.465
Gujarat,Vadodara,Alkapuri,8663,5,13,morning,0.38,0.72,0.3,0.458,247.51,2.6,0.2,0.45
Gujarat,Vadodara,Alkapuri,4817,4,13,morning,0.38,0.72,0.3,0.458,172.04,3.25,0.2,0.463
Gujarat,Vadodara,Alkapuri,4851,4,8,evening,0.38,0.72,0.3,0.458,173.25,2.0,0.6,0.458
Gujarat,Vadodara,Alkapuri,5035,4,11,night,0.38,0.72,0.3,0.458,179.82,2.75,0.7,0.478
Gujarat,Vadodara,Alkapuri,8555,5,18,evening,0.38,0.72,0.3,0.458,244.43,3.6,0.6,0.49
Gujarat,Vadodara,Alkapuri,5677,5,14,night,0.38,0.72,0.3,0.458,162.2,2.8,0.7,0.479
Gujarat,Vadodara,Alkapuri,8641,4,11,morning,0.38,0.72,0.3,0.458,308.61,2.75,0.2,0.453
Gujarat,Vadodara,Alkapuri,8113,12,33,evening,0.38,0.72,0.3,0.458,96.58,2.75,0.6,0.473
Gujarat,Vadodara,Alkapuri,4050,9,31,morning,0.38,0.72,0.3,0.458,64.29,3.44,0.2,0.467
Gujarat,Vadodara,Alkapuri,5818,10,16,afternoon,0.38,0.72,0.3,0.458,83.11,1.6,0.3,0.435
Gujarat,Vadodara,Alkapuri,3020,11,28,morning,0.38,0.72,0.3,0.458,39.22,2.55,0.2,0.449
Gujarat,Vadodara,Alkapuri,8781,11,29,afternoon,0.38,0.72,0.3,0.458,114.04,2.64,0.3,0.456
Gujarat,Vadodara,Alkapuri,5359,7,16,afternoon,0.38,0.72,0.3,0.458,109.37,2.29,0.3,0.449
Gujarat,Vadodara,Alkapuri,3587,7,13,morning,0.38,0.72,0.3,0.458,73.2,1.86,0.2,0.435
Gujarat,Vadodara,Alkapuri,5285,7,28,evening,0.38,0.72,0.3,0.458,107.86,4.0,0.6,0.498
Gujarat,Vadodara,Alkapuri,7621,4,13,night,0.38,0.72,0.3,0.458,272.18,3.25,0.7,0.488
Gujarat,Vadodara,Alkapuri,7799,9,31,night,0.38,0.72,0.3,0.458,123.79,3.44,0.7,0.492
Gujarat,Vadodara,Alkapuri,8341,6,26,evening,0.38,0.72,0.3,0.458,198.6,4.33,0.6,0.505
Gujarat,Vadodara,Alkapuri,5595,6,28,afternoon,0.38,0.72,0.3,0.458,133.21,4.67,0.3,0.496
Gujarat,Vadodara,Alkapuri,7019,11,10,afternoon,0.38,0.72,0.3,0.458,91.16,0.91,0.3,0.421
Gujarat,Vadodara,Alkapuri,8307,12,23,morning,0.38,0.72,0.3,0.458,98.89,1.92,0.2,0.436
Gujarat,Vadodara,Alkapuri,8881,4,19,evening,0.38,0.72,0.3,0.458,317.18,4.75,0.6,0.513
Gujarat,Vadodara,Alkapuri,8789,4,25,night,0.38,0.72,0.3,0.458,313.89,6.25,0.7,0.523
Gujarat,Vadodara,Alkapuri,5775,11,19,morning,0.38,0.72,0.3,0.458,75.0,1.73,0.2,0.433
Gujarat,Vadodara,Alkapuri,3721,11,24,night,0.38,0.72,0.3,0.458,48.32,2.18,0.7,0.467
Gujarat,Vadodara,Alkapuri,7656,9,13,morning,0.38,0.72,0.3,0.458,121.52,1.44,0.2,0.427
Gujarat,Vadodara,Alkapuri,8226,6,23,morning,0.38,0.72,0.3,0.458,195.86,3.83,0.2,0.475
Gujarat,Vadodara,Alkapuri,4476,11,32,afternoon,0.38,0.72,0.3,0.458,58.13,2.91,0.3,0.461
Gujarat,Vadodara,Alkapuri,9189,6,34,afternoon,0.38,0.72,0.3,0.458,218.79,5.67,0.3,0.503
Gujarat,Vadodara,Station Road,6204,7,34,afternoon,0.45,0.7,0.42,0.516,126.61,4.86,0.3,0.55
Gujarat,Vadodara,Station Road,5299,11,20,afternoon,0.45,0.7,0.42,0.516,68.82,1.82,0.3,0.489
Gujarat,Vadodara,Station Road,9991,6,8,afternoon,0.45,0.7,0.42,0.516,237.88,1.33,0.3,0.479
Gujarat,Vadodara,Station Road,9359,8,20,afternoon,0.45,0.7,0.42,0.516,167.12,2.5,0.3,0.502
Gujarat,Vadodara,Station Road,3572,5,13,morning,0.45,0.7,0.42,0.516,102.06,2.6,0.2,0.499
Gujarat,Vadodara,Station Road,5326,8,21,night,0.45,0.7,0.42,0.516,95.11,2.62,0.7,0.525
Gujarat,Vadodara,Station Road,3548,7,10,afternoon,0.45,0.7,0.42,0.516,72.41,1.43,0.3,0.481
Gujarat,Vadodara,Station Road,6312,6,15,evening,0.45,0.7,0.42,0.516,150.29,2.5,0.6,0.517
Gujarat,Vadodara,Station Road,6781,12,16,morning,0.45,0.7,0.42,0.516,80.73,1.33,0.2,0.474
Gujarat,Vadodara,Station Road,5682,7,33,night,0.45,0.7,0.42,0.516,115.96,4.71,0.7,0.567
Gujarat,Vadodara,Station Road,7318,12,17,afternoon,0.45,0.7,0.42,0.516,87.12,1.42,0.3,0.481
Gujarat,Vadodara,Station Road,4427,8,17,night,0.45,0.7,0.42,0.516,79.05,2.12,0.7,0.515
Gujarat,Vadodara,Station Road,3504,10,25,morning,0.45,0.7,0.42,0.516,50.06,2.5,0.2,0.497
Gujarat,Vadodara,Station Road,4928,7,24,night,0.45,0.7,0.42,0.516,100.57,3.43,0.7,0.541
Gujarat,Vadodara,Station Road,3962,11,23,afternoon,0.45,0.7,0.42,0.516,51.45,2.09,0.3,0.494
Gujarat,Vadodara,Station Road,8075,10,23,afternoon,0.45,0.7,0.42,0.516,115.36,2.3,0.3,0.498
Gujarat,Vadodara,Station Road,7397,6,14,morning,0.45,0.7,0.42,0.516,176.12,2.33,0.2,0.494
Gujarat,Vadodara,Station Road,4880,11,15,afternoon,0.45,0.7,0.42,0.516,63.38,1.36,0.3,0.48
Gujarat,Vadodara,Station Road,3266,9,13,afternoon,0.45,0.7,0.42,0.516,51.84,1.44,0.3,0.481
Gujarat,Vadodara,Station Road,9132,12,18,afternoon,0.45,0.7,0.42,0.516,108.71,1.5,0.3,0.483
Gujarat,Vadodara,Station Road,9640,7,19,afternoon,0.45,0.7,0.42,0.516,196.73,2.71,0.3,0.507
Gujarat,Vadodara,Station Road,6132,10,13,night,0.45,0.7,0.42,0.516,87.6,1.3,0.7,0.498
Gujarat,Vadodara,Station Road,4924,12,9,evening,0.45,0.7,0.42,0.516,58.62,0.75,0.6,0.483
Gujarat,Vadodara,Station Road,6184,9,21,morning,0.45,0.7,0.42,0.516,98.16,2.33,0.2,0.494
Gujarat,Vadodara,Station Road,5976,12,23,evening,0.45,0.7,0.42,0.516,71.14,1.92,0.6,0.506
Gujarat,Vadodara,Station Road,4354,9,30,afternoon,0.45,0.7,0.42,0.516,69.11,3.33,0.3,0.519
Gujarat,Vadodara,Station Road,7894,11,15,morning,0.45,0.7,0.42,0.516,102.52,1.36,0.2,0.475
Gujarat,Vadodara,Station Road,9430,5,19,night,0.45,0.7,0.42,0.516,269.43,3.8,0.7,0.549
Gujarat,Vadodara,Station Road,4672,8,27,morning,0.45,0.7,0.42,0.516,83.43,3.38,0.2,0.515
Gujarat,Vadodara,Station Road,9185,11,33,morning,0.45,0.7,0.42,0.516,119.29,3.0,0.2,0.507
Gujarat,Vadodara,Station Road,7222,12,29,evening,0.45,0.7,0.42,0.516,85.98,2.42,0.6,0.516
Gujarat,Vadodara,Station Road,5082,5,15,morning,0.45,0.7,0.42,0.516,145.2,3.0,0.2,0.507
Gujarat,Vadodara,Station Road,5127,9,25,night,0.45,0.7,0.42,0.516,81.38,2.78,0.7,0.528
Gujarat,Vadodara,Station Road,6899,4,30,night,0.45,0.7,0.42,0.516,246.39,7.5,0.7,0.573
Gujarat,Vadodara,Station Road,7043,11,20,evening,0.45,0.7,0.42,0.516,91.47,1.82,0.6,0.504
Gujarat,Vadodara,Station Road,4189,11,27,night,0.45,0.7,0.42,0.516,54.4,2.45,0.7,0.521
Gujarat,Vadodara,Station Road,6920,6,24,night,0.45,0.7,0.42,0.516,164.76,4.0,0.7,0.553
Gujarat,Vadodara,Station Road,4894,8,14,afternoon,0.45,0.7,0.42,0.516,87.39,1.75,0.3,0.487
Gujarat,Vadodara,Station Road,5708,8,9,morning,0.45,0.7,0.42,0.516,101.93,1.12,0.2,0.47
Gujarat,Vadodara,Station Road,6035,11,33,morning,0.45,0.7,0.42,0.516,78.38,3.0,0.2,0.507
Gujarat,Vadodara,Station Road,3572,12,24,morning,0.45,0.7,0.42,0.516,42.52,2.0,0.2,0.488
Gujarat,Vadodara,Station Road,9450,5,9,night,0.45,0.7,0.42,0.516,270.0,1.8,0.7,0.508
Gujarat,Vadodara,Station Road,3485,12,24,evening,0.45,0.7,0.42,0.516,41.49,2.0,0.6,0.508
Gujarat,Vadodara,Station Road,6955,4,15,morning,0.45,0.7,0.42,0.516,248.39,3.75,0.2,0.522
Gujarat,Vadodara,Station Road,6130,9,29,night,0.45,0.7,0.42,0.516,97.3,3.22,0.7,0.537
Gujarat,Vadodara,Station Road,5679,4,32,afternoon,0.45,0.7,0.42,0.516,202.82,8.0,0.3,0.552
Gujarat,Vadodara,Station Road,4779,11,10,night,0.45,0.7,0.42,0.516,62.06,0.91,0.7,0.491
Gujarat,Vadodara,Station Road,9278,4,23,morning,0.45,0.7,0.42,0.516,331.36,5.75,0.2,0.547
Gujarat,Vadodara,Station Road,5434,6,25,morning,0.45,0.7,0.42,0.516,129.38,4.17,0.2,0.531
Gujarat,Vadodara,Station Road,7446,11,34,morning,0.45,0.7,0.42,0.516,96.7,3.09,0.2,0.509
Gujarat,Vadodara,Station Road,7238,5,24,morning,0.45,0.7,0.42,0.516,206.8,4.8,0.2,0.543
Gujarat,Vadodara,Station Road,8957,6,25,afternoon,0.45,0.7,0.42,0.516,213.26,4.17,0.3,0.536
Gujarat,Vadodara,Station Road,8463,4,25,afternoon,0.45,0.7,0.42,0.516,302.25,6.25,0.3,0.552
Gujarat,Vadodara,Station Road,5346,7,21,night,0.45,0.7,0.42,0.516,109.1,3.0,0.7,0.532
Gujarat,Vadodara,Station Road,7458,10,19,afternoon,0.45,0.7,0.42,0.516,106.54,1.9,0.3,0.491
Gujarat,Vadodara,Station Road,7697,10,12,evening,0.45,0.7,0.42,0.516,109.96,1.2,0.6,0.492
Gujarat,Vadodara,Station Road,7509,7,18,afternoon,0.45,0.7,0.42,0.516,153.24,2.57,0.3,0.504
Gujarat,Vadodara,Station Road,4772,10,30,afternoon,0.45,0.7,0.42,0.516,68.17,3.0,0.3,0.512
Gujarat,Vadodara,Station Road,4822,8,17,night,0.45,0.7,0.42,0.516,86.11,2.12,0.7,0.515
Gujarat,Vadodara,Station Road,7958,7,27,morning,0.45,0.7,0.42,0.516,162.41,3.86,0.2,0.525
Gujarat,Vadodara,Station Road,7613,10,26,evening,0.45,0.7,0.42,0.516,108.76,2.6,0.6,0.519
Gujarat,Vadodara,Station Road,3758,11,26,afternoon,0.45,0.7,0.42,0.516,48.81,2.36,0.3,0.5
Gujarat,Vadodara,Station Road,4442,5,8,afternoon,0.45,0.7,0.42,0.516,126.91,1.6,0.3,0.485
Gujarat,Vadodara,Station Road,8523,11,9,afternoon,0.45,0.7,0.42,0.516,110.69,0.82,0.3,0.469
Gujarat,Vadodara,Station Road,4825,8,16,morning,0.45,0.7,0.42,0.516,86.16,2.0,0.2,0.488
Gujarat,Vadodara,Station Road,6964,6,28,night,0.45,0.7,0.42,0.516,165.81,4.67,0.7,0.566
Gujarat,Vadodara,Station Road,4806,9,25,evening,0.45,0.7,0.42,0.516,76.29,2.78,0.6,0.523
Gujarat,Vadodara,Station Road,3854,12,16,morning,0.45,0.7,0.42,0.516,45.88,1.33,0.2,0.474
Gujarat,Vadodara,Station Road,6357,11,25,afternoon,0.45,0.7,0.42,0.516,82.56,2.27,0.3,0.498
Gujarat,Vadodara,Station Road,4110,11,24,evening,0.45,0.7,0.42,0.516,53.38,2.18,0.6,0.511
Gujarat,Vadodara,Station Road,7632,9,29,afternoon,0.45,0.7,0.42,0.516,121.14,3.22,0.3,0.517
Gujarat,Vadodara,Station Road,8978,11,30,night,0.45,0.7,0.42,0.516,116.6,2.73,0.7,0.527
Gujarat,Vadodara,Station Road,8085,10,20,night,0.45,0.7,0.42,0.516,115.5,2.0,0.7,0.513
Gujarat,Vadodara,Station Road,7729,8,20,evening,0.45,0.7,0.42,0.516,138.02,2.5,0.6,0.517
Gujarat,Vadodara,Station Road,3334,6,31,morning,0.45,0.7,0.42,0.516,79.38,5.17,0.2,0.547
Gujarat,Vadodara,Station Road,5966,7,18,afternoon,0.45,0.7,0.42,0.516,121.76,2.57,0.3,0.504
Gujarat,Vadodara,Station Road,9495,9,28,evening,0.45,0.7,0.42,0.516,150.71,3.11,0.6,0.53
Gujarat,Vadodara,Station Road,5743,7,10,night,0.45,0.7,0.42,0.516,117.2,1.43,0.7,0.501
Gujarat,Vadodara,Station Road,5662,5,21,morning,0.45,0.7,0.42,0.516,161.77,4.2,0.2,0.532
Gujarat,Vadodara,Station Road,4846,9,17,afternoon,0.45,0.7,0.42,0.516,76.92,1.89,0.3,0.49
Gujarat,Vadodara,Waghodia,3880,4,17,night,0.36,0.74,0.34,0.468,138.57,4.25,0.7,0.516
Gujarat,Vadodara,Waghodia,9321,6,29,morning,0.36,0.74,0.34,0.468,221.93,4.83,0.2,0.503
Gujarat,Vadodara,Waghodia,6525,4,9,morning,0.36,0.74,0.34,0.468,233.04,2.25,0.2,0.451
Gujarat,Vadodara,Waghodia,3556,10,31,night,0.36,0.74,0.34,0.468,50.8,3.1,0.7,0.493
Gujarat,Vadodara,Waghodia,8309,9,18,morning,0.36,0.74,0.34,0.468,131.89,2.0,0.2,0.446
Gujarat,Vadodara,Waghodia,7727,7,17,evening,0.36,0.74,0.34,0.468,157.69,2.43,0.6,0.475
Gujarat,Vadodara,Waghodia,7595,8,9,morning,0.36,0.74,0.34,0.468,135.62,1.12,0.2,0.428
Gujarat,Vadodara,Waghodia,7766,10,35,evening,0.36,0.74,0.34,0.468,110.94,3.5,0.6,0.496
Gujarat,Vadodara,Waghodia,6206,8,17,afternoon,0.36,0.74,0.34,0.468,110.82,2.12,0.3,0.453
Gujarat,Vadodara,Waghodia,3355,5,12,evening,0.36,0.74,0.34,0.468,95.86,2.4,0.6,0.474
Gujarat,Vadodara,Waghodia,7394,9,30,evening,0.36,0.74,0.34,0.468,117.37,3.33,0.6,0.493
Gujarat,Vadodara,Waghodia,7944,11,25,afternoon,0.36,0.74,0.34,0.468,103.17,2.27,0.3,0.456
Gujarat,Vadodara,Waghodia,9480,9,22,morning,0.36,0.74,0.34,0.468,150.48,2.44,0.2,0.455
Gujarat,Vadodara,Waghodia,5436,7,21,evening,0.36,0.74,0.34,0.468,110.94,3.0,0.6,0.486
Gujarat,Vadodara,Waghodia,6106,10,12,night,0.36,0.74,0.34,0.468,87.23,1.2,0.7,0.455
Gujarat,Vadodara,Waghodia,9488,7,23,morning,0.36,0.74,0.34,0.468,193.63,3.29,0.2,0.472
Gujarat,Vadodara,Waghodia,5193,11,30,night,0.36,0.74,0.34,0.468,67.44,2.73,0.7,0.486
Gujarat,Vadodara,Waghodia,9435,11,18,morning,0.36,0.74,0.34,0.468,122.53,1.64,0.2,0.439
Gujarat,Vadodara,Waghodia,3232,10,34,evening,0.36,0.74,0.34,0.468,46.17,3.4,0.6,0.494
Gujarat,Vadodara,Waghodia,3338,12,13,night,0.36,0.74,0.34,0.468,39.74,1.08,0.7,0.453
Gujarat,Vadodara,Waghodia,9274,10,10,afternoon,0.36,0.74,0.34,0.468,132.49,1.0,0.3,0.431
Gujarat,Vadodara,Waghodia,8924,10,32,evening,0.36,0.74,0.34,0.468,127.49,3.2,0.6,0.49
Gujarat,Vadodara,Waghodia,8694,7,26,morning,0.36,0.74,0.34,0.468,177.43,3.71,0.2,0.48
Gujarat,Vadodara,Waghodia,4205,6,14,morning,0.36,0.74,0.34,0.468,100.12,2.33,0.2,0.453
Gujarat,Vadodara,Waghodia,4527,8,30,morning,0.36,0.74,0.34,0.468,80.84,3.75,0.2,0.481
Gujarat,Vadodara,Waghodia,7729,12,22,evening,0.36,0.74,0.34,0.468,92.01,1.83,0.6,0.463
Gujarat,Vadodara,Waghodia,3149,9,8,afternoon,0.36,0.74,0.34,0.468,49.98,0.89,0.3,0.429
Gujarat,Vadodara,Waghodia,5515,8,30,afternoon,0.36,0.74,0.34,0.468,98.48,3.75,0.3,0.486
Gujarat,Vadodara,Waghodia,6603,11,30,afternoon,0.36,0.74,0.34,0.468,85.75,2.73,0.3,0.466
Gujarat,Vadodara,Waghodia,4175,4,10,afternoon,0.36,0.74,0.34,0.468,149.11,2.5,0.3,0.461
Gujarat,Vadodara,Waghodia,9706,4,11,morning,0.36,0.74,0.34,0.468,346.64,2.75,0.2,0.461
Gujarat,Vadodara,Waghodia,3620,10,12,night,0.36,0.74,0.34,0.468,51.71,1.2,0.7,0.455
Gujarat,Vadodara,Waghodia,7411,12,25,morning,0.36,0.74,0.34,0.468,88.23,2.08,0.2,0.448
Gujarat,Vadodara,Waghodia,5030,11,24,evening,0.36,0.74,0.34,0.468,65.32,2.18,0.6,0.47
Gujarat,Vadodara,Waghodia,7282,5,33,evening,0.36,0.74,0.34,0.468,208.06,6.6,0.6,0.526
Gujarat,Vadodara,Waghodia,4403,11,9,afternoon,0.36,0.74,0.34,0.468,57.18,0.82,0.3,0.427
Gujarat,Vadodara,Waghodia,9428,10,8,afternoon,0.36,0.74,0.34,0.468,134.69,0.8,0.3,0.427
Gujarat,Vadodara,Waghodia,9162,4,33,night,0.36,0.74,0.34,0.468,327.21,8.25,0.7,0.531
Gujarat,Vadodara,Waghodia,6849,4,17,evening,0.36,0.74,0.34,0.468,244.61,4.25,0.6,0.511
Gujarat,Vadodara,Waghodia,7755,10,10,evening,0.36,0.74,0.34,0.468,110.79,1.0,0.6,0.446
Gujarat,Vadodara,Waghodia,7548,6,12,evening,0.36,0.74,0.34,0.468,179.71,2.0,0.6,0.466
Gujarat,Vadodara,Waghodia,6380,4,11,afternoon,0.36,0.74,0.34,0.468,227.86,2.75,0.3,0.466
Gujarat,Vadodara,Waghodia,6352,4,34,morning,0.36,0.74,0.34,0.468,226.86,8.5,0.2,0.506
Gujarat,Vadodara,Waghodia,3842,5,33,afternoon,0.36,0.74,0.34,0.468,109.77,6.6,0.3,0.511
Gujarat,Vadodara,Waghodia,7092,9,22,afternoon,0.36,0.74,0.34,0.468,112.57,2.44,0.3,0.46
Gujarat,Vadodara,Waghodia,5802,5,31,afternoon,0.36,0.74,0.34,0.468,165.77,6.2,0.3,0.511
Gujarat,Vadodara,Waghodia,5960,10,20,night,0.36,0.74,0.34,0.468,85.14,2.0,0.7,0.471
Gujarat,Vadodara,Waghodia,4983,7,15,morning,0.36,0.74,0.34,0.468,101.69,2.14,0.2,0.449
Gujarat,Vadodara,Waghodia,8867,5,21,evening,0.36,0.74,0.34,0.468,253.34,4.2,0.6,0.51
Gujarat,Vadodara,Waghodia,6090,5,29,morning,0.36,0.74,0.34,0.468,174.0,5.8,0.2,0.506
Gujarat,Vadodara,Waghodia,8612,4,16,afternoon,0.36,0.74,0.34,0.468,307.57,4.0,0.3,0.491
Gujarat,Vadodara,Waghodia,9397,11,27,morning,0.36,0.74,0.34,0.468,122.04,2.45,0.2,0.455
Gujarat,Vadodara,Waghodia,7366,6,19,night,0.36,0.74,0.34,0.468,175.38,3.17,0.7,0.494
Gujarat,Vadodara,Waghodia,9491,4,21,evening,0.36,0.74,0.34,0.468,338.96,5.25,0.6,0.526
Gujarat,Vadodara,Waghodia,6342,12,12,morning,0.36,0.74,0.34,0.468,75.5,1.0,0.2,0.426
Gujarat,Vadodara,Waghodia,6649,8,13,afternoon,0.36,0.74,0.34,0.468,118.73,1.62,0.3,0.443
Gujarat,Vadodara,Waghodia,7826,12,11,evening,0.36,0.74,0.34,0.468,93.17,0.92,0.6,0.444
Gujarat,Vadodara,Waghodia,4824,6,15,evening,0.36,0.74,0.34,0.468,114.86,2.5,0.6,0.476
Gujarat,Vadodara,Waghodia,8021,6,25,afternoon,0.36,0.74,0.34,0.468,190.98,4.17,0.3,0.494
Gujarat,Vadodara,Waghodia,8855,4,9,night,0.36,0.74,0.34,0.468,316.25,2.25,0.7,0.476
Gujarat,Vadodara,Waghodia,3792,8,19,afternoon,0.36,0.74,0.34,0.468,67.71,2.38,0.3,0.459
Gujarat,Vadodara,Waghodia,7018,5,16,evening,0.36,0.74,0.34,0.468,200.51,3.2,0.6,0.49
Gujarat,Vadodara,Waghodia,5357,11,15,evening,0.36,0.74,0.34,0.468,69.57,1.36,0.6,0.453
Gujarat,Vadodara,Waghodia,9710,12,22,evening,0.36,0.74,0.34,0.468,115.6,1.83,0.6,0.463
Gujarat,Vadodara,Waghodia,7981,7,31,evening,0.36,0.74,0.34,0.468,162.88,4.43,0.6,0.515
Gujarat,Vadodara,Waghodia,5763,6,25,afternoon,0.36,0.74,0.34,0.468,137.21,4.17,0.3,0.494
Gujarat,Vadodara,Waghodia,5178,5,34,evening,0.36,0.74,0.34,0.468,147.94,6.8,0.6,0.526
Gujarat,Vadodara,Waghodia,7362,11,10,night,0.36,0.74,0.34,0.468,95.61,0.91,0.7,0.449
